DT + 1698694327455;LT55.5382622;LG37.609329;PB986.562;SP15.535265AZ: -5.1288385
DT + 1698694328476;LT55.5381253;LG37.6093774;PB986.57227;SP15.568142AZ: 1.3338566
DT + 1698694329466;LT55.5379875;LG37.6094261;PB986.6553;SP15.777198AZ: 5.3052063
DT + 1698694330464;LT55.5378486;LG37.609475;PB986.69727;SP15.734603AZ: -25.804096
DT + 1698694331465;LT55.5377104;LG37.6095193;PB986.6426;SP15.728844AZ: 2.0501173
DT + 1698694332463;LT55.5375719;LG37.6095604;PB986.49023;SP15.8091AZ: -14.696293
DT + 1698694333471;LT55.5374327;LG37.6096008;PB986.6753;SP15.890363AZ: -11.807679
DT + 1698694334454;LT55.5372937;LG37.6096407;PB986.68066;SP15.695015AZ: 19.917482
DT + 1698694335467;LT55.5371549;LG37.6096801;PB986.7095;SP15.768173AZ: -9.902184
DT + 1698694336463;LT55.5370161;LG37.6097191;PB986.7676;SP15.544889AZ: -3.3536272
DT + 1698694337450;LT55.5368793;LG37.6097574;PB986.812;SP15.559768AZ: 5.89501
DT + 1698694338459;LT55.5367418;LG37.6097985;PB986.66504;SP15.452866AZ: -4.16032
DT + 1698694339455;LT55.5366047;LG37.6098364;PB986.7007;SP15.584599AZ: -28.40954
DT + 1698694340448;LT55.5364666;LG37.6098735;PB986.81055;SP15.598591AZ: -0.42833927
DT + 1698694341451;LT55.5363302;LG37.6099096;PB986.9009;SP15.286478AZ: -24.509386
DT + 1698694342467;LT55.5361966;LG37.6099419;PB986.7207;SP15.40399AZ: 0.44241664
DT + 1698694343476;LT55.5360605;LG37.6099737;PB986.6948;SP15.39548AZ: -28.719059
DT + 1698694344459;LT55.5359254;LG37.610008;PB986.9038;SP15.465151AZ: -15.717497
DT + 1698694345478;LT55.5357894;LG37.6100421;PB986.9258;SP15.345585AZ: -76.450096
DT + 1698694346457;LT55.5356539;LG37.6100728;PB986.8828;SP15.631096AZ: 5.7922335
DT + 1698694347452;LT55.5355173;LG37.6101026;PB986.9165;SP15.430715AZ: -14.269932
DT + 1698694348458;LT55.5353814;LG37.6101316;PB986.8745;SP15.32836AZ: -9.692572
DT + 1698694349457;LT55.5352454;LG37.6101592;PB986.9175;SP15.374164AZ: 1.266157
DT + 1698694350458;LT55.5351105;LG37.6101856;PB986.94727;SP15.262005AZ: 4.9589725
DT + 1698694351454;LT55.5349752;LG37.6102113;PB986.9365;SP15.271187AZ: -19.788477
DT + 1698694352449;LT55.5348373;LG37.610234;PB986.9165;SP15.414695AZ: -0.26602152
DT + 1698694353454;LT55.5346986;LG37.610256;PB986.979;SP15.505583AZ: -8.129794
DT + 1698694354451;LT55.5345602;LG37.6102764;PB986.98926;SP15.521735AZ: 3.9500337
DT + 1698694355453;LT55.5344212;LG37.6102978;PB986.9624;SP15.607852AZ: -12.6683235
DT + 1698694356449;LT55.534282;LG37.6103191;PB987.01855;SP15.557642AZ: -13.916004
DT + 1698694357465;LT55.5341431;LG37.6103389;PB986.9966;SP15.507614AZ: 0.40634456
DT + 1698694358468;LT55.5340032;LG37.6103594;PB987.00684;SP15.859683AZ: -22.577003
DT + 1698694359460;LT55.5338597;LG37.6103806;PB987.0464;SP16.12453AZ: -3.298395
DT + 1698694360470;LT55.5337153;LG37.6104006;PB987.0283;SP16.022215AZ: 0.46792966
DT + 1698694361444;LT55.533572;LG37.6104169;PB987.08496;SP15.970055AZ: -14.569046
DT + 1698694362453;LT55.5334285;LG37.610433;PB987.1167;SP16.043407AZ: 8.6186285
DT + 1698694363477;LT55.5332857;LG37.6104485;PB987.2095;SP15.678588AZ: -8.10041
DT + 1698694364466;LT55.5331465;LG37.61046;PB986.834;SP15.681626AZ: 5.4472413
DT + 1698694365451;LT55.5330064;LG37.6104721;PB987.1416;SP15.742425AZ: -14.599013
DT + 1698694366467;LT55.5328647;LG37.610484;PB987.1421;SP15.837761AZ: 4.468695
DT + 1698694367464;LT55.5327224;LG37.6104935;PB987.15137;SP15.755763AZ: -11.418582
DT + 1698694368474;LT55.5325814;LG37.6105013;PB987.17725;SP15.379995AZ: 16.263811
DT + 1698694369463;LT55.5324434;LG37.6105098;PB987.1997;SP15.629909AZ: 1.2731657
DT + 1698694370475;LT55.532304;LG37.6105171;PB987.1719;SP15.58438AZ: -11.75401
DT + 1698694371468;LT55.5321647;LG37.6105241;PB987.2197;SP15.591822AZ: -15.334228
DT + 1698694372447;LT55.5320267;LG37.6105299;PB987.2256;SP15.527527AZ: -3.6985598
DT + 1698694373472;LT55.5318857;LG37.6105361;PB987.24854;SP15.785553AZ: -4.286607
DT + 1698694374464;LT55.5317444;LG37.6105418;PB987.2715;SP15.56348AZ: -2.503653
